Timestamp,Safety State,Face Orientation,Left Hand Zone,Right Hand Zone,Hands in Zone,Total Hands
2026-04-06 14:32:26,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:32:31,WARNING,Tilted Down,Outside Zones,Not Detected,0,1
2026-04-06 14:32:36,WARNING,Tilted Down,Outside Zones,Outside Zones,0,2
2026-04-06 14:32:41,WARNING,Tilted Down,Outside Zones,Outside Zones,0,2
2026-04-06 14:32:46,WARNING,Tilted Down,Outside Zones,Outside Zones,0,2
2026-04-06 14:32:51,WARNING,Tilted Down,Outside Zones,Not Detected,0,1
2026-04-06 14:32:56,WARNING,Tilted Down,Outside Zones,Not Detected,0,1
2026-04-06 14:52:32,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:52:37,WARNING,Tilted Down,Outside Zones,Outside Zones,0,2
2026-04-06 14:52:42,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:52:47,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:57:51,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:57:56,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-06 14:58:01,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:06,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:11,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:16,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:21,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:26,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:31,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:36,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:41,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:46,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:51,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:58:57,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:02,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:07,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:12,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:17,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:22,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:27,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:32,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:37,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:42,WARNING,Tilted Down,Not Detected,Outside Zones,0,1
2026-04-06 14:59:47,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:52,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 14:59:57,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:02,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:07,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:12,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:17,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:22,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:27,WARNING,Tilted Down,Outside Zones,Not Detected,0,1
2026-04-06 15:00:32,WARNING,Tilted Down,Outside Zones,Not Detected,0,1
2026-04-06 15:00:37,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:42,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:47,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:53,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:00:58,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:03,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:08,WARNING,Tilted Down,Not Detected,Outside Zones,0,1
2026-04-06 15:01:13,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:18,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:23,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:28,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:33,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:38,WARNING,Tilted Down,Not Detected,Outside Zones,0,1
2026-04-06 15:01:43,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:48,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:53,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:01:58,WARNING,Tilted Down,Outside Zones,Not Detected,0,1
2026-04-06 15:02:03,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:02:08,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:02:13,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:15:42,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:15:47,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-06 15:15:52,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-06 15:15:57,WARNING,Tilted Down,Not Detected,Not Detected,0,0
2026-04-06 15:16:02,WARNING,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-06 15:16:07,WARNING,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-06 15:16:12,WARNING,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-06 15:16:17,WARNING,Tilted Down,Not Detected,Outside Safe Zone,0,1
2026-04-06 15:16:22,WARNING,Tilted Down,Outside Safe Zone,Not Detected,0,1
2026-04-06 15:16:27,WARNING,Tilted Down,Outside Safe Zone,Not Detected,0,1
2026-04-06 15:16:32,WARNING,Tilted Down,Outside Safe Zone,HAND ZONE,0,2
2026-04-06 15:16:37,WARNING,Tilted Down,Outside Safe Zone,Outside Safe Zone,0,2
